date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:04:03	92564/92564	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2216994-5b1751428599b%22	https://avatao.com/template/core/admin/fonts/modules.eot	./httrack/avatao/avatao.com/template/core/admin/fonts/modules.eot	(from https://avatao.com/template/allskin.css?ver=4.6.0)
07:04:04	92564/92564	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2216994-5b1751428599b%22	https://avatao.com/template/core/admin/fonts/modules.eot?	./httrack/avatao/avatao.com/template/core/admin/fonts/modulesd41d.eot	(from https://avatao.com/template/allskin.css?ver=4.6.0)
07:04:06	92400/92400	---MCZ	200	added ('OK')	application/x-font-ttf	etag:W/%22168f0-5b1751428599b%22	https://avatao.com/template/core/admin/fonts/modules.ttf	./httrack/avatao/avatao.com/template/core/admin/fonts/modules.ttf	(from https://avatao.com/template/allskin.css?ver=4.6.0)
07:04:06	92476/92476	---M--	200	added ('OK')	application/font-woff	etag:%221693c-5b1751428599b%22	https://avatao.com/template/core/admin/fonts/modules.woff	./httrack/avatao/avatao.com/template/core/admin/fonts/modules.woff	(from https://avatao.com/template/allskin.css?ver=4.6.0)
07:04:08	301078/301078	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2249816-5b1751428599b%22	https://avatao.com/template/core/admin/fonts/modules.svg	./httrack/avatao/avatao.com/template/core/admin/fonts/modules.svg	(from https://avatao.com/template/allskin.css?ver=4.6.0)
07:04:08	1422/1422	---M--	200	added ('OK')	image/gif	etag:%2258e-5b17514279e17%22	https://avatao.com/template/includes/builder/styles/images/subscribe-loader.gif	./httrack/avatao/avatao.com/template/includes/builder/styles/images/subscribe-loader.gif	(from https://avatao.com/template/allskin.css?ver=4.6.0)
07:04:09	9427/9427	---M--	200	added ('OK')	image/gif	etag:%2224d3-5b17514279e17%22	https://avatao.com/template/includes/builder/styles/images/preloader.gif	./httrack/avatao/avatao.com/template/includes/builder/styles/images/preloader.gif	(from https://avatao.com/template/allskin.css?ver=4.6.0)
07:04:10	17119/17119	---M--	200	added ('OK')	image/png	etag:%2242df-5b175142680e9%22	https://avatao.com/template/epanel/shortcodes/images/shortcodes-sprite.png	./httrack/avatao/avatao.com/template/epanel/shortcodes/images/shortcodes-sprite.png	(from https://avatao.com/template/allskin.css?ver=4.6.0)
07:04:11	56564/56564	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22dcf4-5adc9a4ca3f1c%22	https://avatao.com/includes/fonts/dashicons.eot?99ac726223c749443b642ce33df8b800	./httrack/avatao/avatao.com/includes/fonts/dashicons7d4b.eot	(from https://avatao.com/includes/css/dashicons.min.css?ver=5.6.1)
07:04:13	56392/56392	---MCZ	200	added ('OK')	application/x-font-ttf	etag:W/%22dc48-5adc9a4ca4304%22	https://avatao.com/includes/fonts/dashicons.ttf?99ac726223c749443b642ce33df8b800	./httrack/avatao/avatao.com/includes/fonts/dashicons7d4b.ttf	(from https://avatao.com/includes/css/dashicons.min.css?ver=5.6.1)
07:04:14	706/706	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%222c2-5adc3efbe3000%22	https://avatao.com/file/2020/08/BG2-06-4.svg	./httrack/avatao/avatao.com/file/2020/08/BG2-06-4.svg	(from https://avatao.com/content/et-cache/3291/et-core-unified-3291-16140054033319.min.css)
07:04:14	118/118	---MC-	401	error ('Unauthorized')	application/json	date:Tue,%2023%20Feb%202021%2006:04:14%20GMT	https://avatao.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Favatao.com%2Fsecurity-training%2F	./httrack/avatao/avatao.com/wp-json/oembed/1.0/embede6b2	(from https://avatao.com/security-training/)
07:04:15	179/179	---MC-	401	error ('Unauthorized')	text/xml	date:Tue,%2023%20Feb%202021%2006:04:15%20GMT	https://avatao.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Favatao.com%2Fsecurity-training%2F&format=xml	./httrack/avatao/avatao.com/wp-json/oembed/1.0/embed5929	(from https://avatao.com/security-training/)
07:04:16	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2023%20Feb%202021%2006:04:15%20GMT	https://avatao.com/?p=3493	./httrack/avatao/avatao.com/index0368.html	(from https://avatao.com/security-training/)
07:04:17	22930/22930	---MCZ	200	added ('OK')	text/css	etag:W/%225992-5bbedcca8ab75%22	https://avatao.com/content/et-cache/3493/et-core-unified-3493-1614004898135.min.css	./httrack/avatao/avatao.com/content/et-cache/3493/et-core-unified-3493-1614004898135.min.css	(from https://avatao.com/security-training/)
07:04:17	18302/18302	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2023%20Feb%202021%2006:04:17%20GMT	https://avatao.com/trial/	./httrack/avatao/avatao.com/trial/index.html	(from https://avatao.com/security-training/)
07:04:17	118/118	---MC-	401	error ('Unauthorized')	application/json	date:Tue,%2023%20Feb%202021%2006:04:17%20GMT	https://avatao.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Favatao.com%2Fcompliance%2F	./httrack/avatao/avatao.com/wp-json/oembed/1.0/embed.31ace9.delayed	(from https://avatao.com/compliance/)
07:04:19	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2023%20Feb%202021%2006:04:18%20GMT	https://avatao.com/?p=4081	./httrack/avatao/avatao.com/indexf436.html	(from https://avatao.com/compliance/)
07:04:20	179/179	---MC-	401	error ('Unauthorized')	text/xml	date:Tue,%2023%20Feb%202021%2006:04:20%20GMT	https://avatao.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Favatao.com%2Fcompliance%2F&format=xml	./httrack/avatao/avatao.com/wp-json/oembed/1.0/embede293	(from https://avatao.com/compliance/)
07:04:21	20212/20212	---MCZ	200	added ('OK')	text/css	etag:W/%224ef4-5bbf067ebaab3%22	https://avatao.com/content/et-cache/4081/et-core-unified-4081-16140160928526.min.css	./httrack/avatao/avatao.com/content/et-cache/4081/et-core-unified-4081-16140160928526.min.css	(from https://avatao.com/compliance/)
07:04:21	31409/31409	---MCZ	200	added ('OK')	text/html	etag:W/%227ab1-5bbfaa723849d%22	https://avatao.com/pci-dss-case-study/	./httrack/avatao/avatao.com/pci-dss-case-study/index.html	(from https://avatao.com/compliance/)
07:04:21	118/118	---MC-	401	error ('Unauthorized')	application/json	date:Tue,%2023%20Feb%202021%2006:04:21%20GMT	https://avatao.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Favatao.com%2Ftopics-we-cover%2F	./httrack/avatao/avatao.com/wp-json/oembed/1.0/embed6cc2	(from https://avatao.com/topics-we-cover/)
07:04:22	179/179	---MC-	401	error ('Unauthorized')	text/xml	date:Tue,%2023%20Feb%202021%2006:04:22%20GMT	https://avatao.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Favatao.com%2Ftopics-we-cover%2F&format=xml	./httrack/avatao/avatao.com/wp-json/oembed/1.0/embed210c	(from https://avatao.com/topics-we-cover/)
07:04:23	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2023%20Feb%202021%2006:04:22%20GMT	https://avatao.com/?p=1682	./httrack/avatao/avatao.com/indexbab4.html	(from https://avatao.com/topics-we-cover/)
07:04:24	55197/55197	---MCZ	200	added ('OK')	text/css	etag:W/%22d79d-5bbee6faddfae%22	https://avatao.com/content/et-cache/1682/et-core-unified-1682-16140076328409.min.css	./httrack/avatao/avatao.com/content/et-cache/1682/et-core-unified-1682-16140076328409.min.css	(from https://avatao.com/topics-we-cover/)
07:04:24	118/118	---MC-	401	error ('Unauthorized')	application/json	date:Tue,%2023%20Feb%202021%2006:04:24%20GMT	https://avatao.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Favatao.com%2Fcase-studies%2F	./httrack/avatao/avatao.com/wp-json/oembed/1.0/embed866d	(from https://avatao.com/case-studies/)
07:04:25	179/179	---MC-	401	error ('Unauthorized')	text/xml	date:Tue,%2023%20Feb%202021%2006:04:25%20GMT	https://avatao.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Favatao.com%2Fcase-studies%2F&format=xml	./httrack/avatao/avatao.com/wp-json/oembed/1.0/embed9f83	(from https://avatao.com/case-studies/)
07:04:26	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2023%20Feb%202021%2006:04:25%20GMT	https://avatao.com/?p=502	./httrack/avatao/avatao.com/indexda6e.html	(from https://avatao.com/case-studies/)
07:04:27	11681/11681	---MCZ	200	added ('OK')	text/css	etag:W/%222da1-5bbef1d7d4580%22	https://avatao.com/content/et-cache/502/et-core-unified-502-1614010548572.min.css	./httrack/avatao/avatao.com/content/et-cache/502/et-core-unified-502-1614010548572.min.css	(from https://avatao.com/case-studies/)
07:04:27	34715/34715	---MCZ	200	added ('OK')	text/html	etag:W/%22879b-5bbfa98daa60d%22	https://avatao.com/case-study-logmein/	./httrack/avatao/avatao.com/case-study-logmein/index.html	(from https://avatao.com/case-studies/)
07:04:27	118/118	---MC-	401	error ('Unauthorized')	application/json	date:Tue,%2023%20Feb%202021%2006:04:27%20GMT	https://avatao.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Favatao.com%2Fblog%2F	./httrack/avatao/avatao.com/wp-json/oembed/1.0/embed4b08	(from https://avatao.com/blog/)
07:04:28	179/179	---MC-	401	error ('Unauthorized')	text/xml	date:Tue,%2023%20Feb%202021%2006:04:28%20GMT	https://avatao.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Favatao.com%2Fblog%2F&format=xml	./httrack/avatao/avatao.com/wp-json/oembed/1.0/embed053b	(from https://avatao.com/blog/)
07:04:29	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2023%20Feb%202021%2006:04:28%20GMT	https://avatao.com/?p=3433	./httrack/avatao/avatao.com/index3e24.html	(from https://avatao.com/blog/)
07:04:30	17185/17185	---MCZ	200	added ('OK')	text/css	etag:W/%224321-5bbf160c0d110%22	https://avatao.com/content/et-cache/3433/et-core-unified-3433-16140202662115.min.css	./httrack/avatao/avatao.com/content/et-cache/3433/et-core-unified-3433-16140202662115.min.css	(from https://avatao.com/blog/)
07:04:30	209/209	---M--	200	added ('OK')	image/png	etag:%22d1-5bad0561b67f2%22	https://avatao.com/content/ewww/lazy/placeholder-1080x675.png	./httrack/avatao/avatao.com/content/ewww/lazy/placeholder-1080x675.png	(from https://avatao.com/blog/)
07:04:31	133/133	---M--	200	added ('OK')	image/png	etag:%2285-5bad04436d9fe%22	https://avatao.com/content/ewww/lazy/placeholder-400x250.png	./httrack/avatao/avatao.com/content/ewww/lazy/placeholder-400x250.png	(from https://avatao.com/blog/)
07:04:32	46224/46224	---MCZ	200	added ('OK')	text/html	etag:W/%22b490-5bbfaa7babb4b%22	https://avatao.com/5-best-practices-to-successfully-implement-training-as-part-of-your-security-program/	./httrack/avatao/avatao.com/5-best-practices-to-successfully-implement-training-as-part-of-your-security-program/index.html	(from https://avatao.com/blog/)
07:04:34	11256/11256	---MCZ	200	added ('OK')	text/css	etag:W/%222bf8-5b66f53d22a27%22	https://avatao.com/includes/js/mediaelement/mediaelementplayer-legacy.min.css?ver=4.2.16	./httrack/avatao/avatao.com/includes/js/mediaelement/mediaelementplayer-legacy.min08e1.css	(from https://avatao.com/blog/)
07:04:34	47446/47446	---MCZ	200	added ('OK')	text/html	etag:W/%226f8bed526f0813bb68a6928d7e1e9374%22	https://avatao.com/secure-coding-best-practices/	./httrack/avatao/avatao.com/secure-coding-best-practices/index.html	(from https://avatao.com/blog/)
07:04:34	41924/41924	---MCZ	200	added ('OK')	text/html	etag:W/%222dc9ed9a03883217c8247069d51c397d%22	https://avatao.com/recent-security-breaches/	./httrack/avatao/avatao.com/recent-security-breaches/index.html	(from https://avatao.com/blog/)
07:04:35	4186/4186	---MCZ	200	added ('OK')	text/css	etag:W/%22105a-5adc401d3d6c9%22	https://avatao.com/includes/js/mediaelement/wp-mediaelement.min.css?ver=5.6.1	./httrack/avatao/avatao.com/includes/js/mediaelement/wp-mediaelement.mind96d.css	(from https://avatao.com/blog/)
07:04:35	41333/41333	---MCZ	200	added ('OK')	text/html	etag:W/%2276cb6a79232387f8b52cb0663bda4fcb%22	https://avatao.com/improve-cybersecurity-in-your-organisation/	./httrack/avatao/avatao.com/improve-cybersecurity-in-your-organisation/index.html	(from https://avatao.com/blog/)
07:04:35	34947/34947	---MCZ	200	added ('OK')	text/html	etag:W/%22b0fd47cb895698c2db548eb5c11f606a%22	https://avatao.com/cloud-security/	./httrack/avatao/avatao.com/cloud-security/index.html	(from https://avatao.com/blog/)
07:04:35	39168/39168	---MCZ	200	added ('OK')	text/html	etag:W/%22c3c6ef0c8dd538e996850fb0a8753f4c%22	https://avatao.com/skills-needed-for-cybersecurity/	./httrack/avatao/avatao.com/skills-needed-for-cybersecurity/index.html	(from https://avatao.com/blog/)
07:04:37	157610/157610	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%22267aa-5b66f53d22a27%22	https://avatao.com/includes/js/mediaelement/mediaelement-and-player.min.js?ver=4.2.16	./httrack/avatao/avatao.com/includes/js/mediaelement/mediaelement-and-player.min08e1.js	(from https://avatao.com/blog/)
